ID,title,description,tag,image,path,genre,mood,distributor,branded-vod,k_means,k_genre,GenreType,Language,Local
10,Tasting Menu ,"As one of the world's best restaurants opens for its final evening, a couple in the midst of a divorce who made their reservation before they separated reunite for a once-in-lifetime meal. Catalan with English subtitles.","genre:comedy,genre:drama/foreign-language-subtitled,genre:movie,mood:all-the-feels,mood:witty,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/3PCyrC6ggOLTDxkUz5cQHV/defeadbef59203d03e4debe0ddda9114/Filmstream_TastingMenu_v1_showtilre.png.defeadbef59203d03e4debe0ddda9114.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/tasting-menu.html,"comedy, foreign-language-subtitled, movie","all-the-feels, witty",rialto,filmstream,4,1,Drama,English,0
11,The Pā Boys ,This is the story of a band on the road... A group of young Māori men form a reggae band and in the process discover what each wants out of their lives. Starring Francis Kora and Matariki Whatarau.,"genre:movie,genre:drama,genre:new-zealand,genre:music,genre:te-ao-maori,channel:tvnz-online,distributor:vendetta",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1IAmc9U0NBABus6dJ59l44/172fb60d569aa149d1fe15fb5fb61cbb/ThePaBoys_showtile.png.172fb60d569aa149d1fe15fb5fb61cbb.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/the-pa-boys.html,"movie, drama, new-zealand, music, te-ao-maori",diverse,vendetta,,0,6,Comedy,English,1
12,Hunt for the Wilderpeople ,"In Taika Waititi's award-winning comedy, moody foster kid Ricky Baker is sent to live in the remote NZ bush with Bella and Hector. When Child Services try to take him back, Ricky refuses, sparking a national manhunt. Starring Julian Dennison and Sam Neill.","genre:movie,genre:new-zealand,genre:comedy,genre:closed-captions,genre:family,genre:te-ao-maori,channel:tv2,distributor:madman",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2IJxxVwT4mdnFnSofEMcvO/4fc6bbdc5dbadddcceab16121acd5a73/hunt_for_the_wilderpeople_showtile.jpg.4fc6bbdc5dbadddcceab16121acd5a73.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/hunt-for-the-wilderpeople.html,"movie, new-zealand, comedy, closed-captions, family, te-ao-maori",diverse,madman,,0,6,Comedy,English,1
13,The Most Magnificent Thing ,"An inspirational story about a clever girl with a creative spirit, who learns the power of love and selflessness through hard work and determination.","genre:kids,genre:children,genre:movie,channel:tvnz-online,distributor:nelvana",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4K78HjsFBx4DDN6c57GwVu/7b3ddaee7eb3c95fc3cbfd9705c9c792/The_Most_Magnificent_Thing_showtile.png.7b3ddaee7eb3c95fc3cbfd9705c9c792.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/the-most-magnificent-thing.html,"kids, children, movie",diverse,nelvana,,2,6,Comedy,English,0
14,Zama ,"Zama, a Spanish officer in the 17th century, is stagnating on a remote island. Awaiting his transfer to Buenos Aires, he waits for the letter from the King to allow him to leave, but the letter never arrives. Spanish with English subtitles.","genre:drama,genre:drama/foreign-language-subtitled,genre:movie,genre:drama/period_drama,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1QNqWkIcG3LVmGrdebVWO4/b144c20aeadb52850e1b6d4fb53cdf4c/Zama_showtile.png.b144c20aeadb52850e1b6d4fb53cdf4c.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/zama.html,"drama, foreign-language-subtitled, movie, period",diverse,rialto,filmstream,3,1,Drama,Spanish,0
15,The Light on the Hill ,The mysterious circumstances surrounding the death of a mountain shepherd awakens greed and superstition in a remote Peruvian village. Spanish with English subtitles.,"genre:movie,genre:drama,genre:drama/foreign-language-subtitled,mood:suspenseful,mood:mysterious,mood:psychological,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6MUIzKiBDPElu8F2411IBb/4d6bf72a0ff406b426307d837b7a838b/TheLightOnTheHill_showtile-min.png.4d6bf72a0ff406b426307d837b7a838b.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/the-light-on-the-hill.html,"movie, drama, foreign-language-subtitled","suspenseful, mysterious, psychological",rialto,filmstream,3,4,Mystery,Spanish,0
16,Dark Angel ,"Based on V.C. Andrews' second novel in the Casteel series. Heaven is living in her wealthy grandmother's Boston house and dreams of a new life. But as she reaches out for love, she is ensnared in a sinister web of cruel deceits and hidden passions.","genre:drama,genre:movie,mood:all-the-feels,mood:mysterious,mood:dark,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6KcCeoi7iQWn3DTyv0kRfa/ad147985564d5e8d68a6760ecab7dab6/Lifetime_VC_Andrews_Dark_Angel_showtile.png.ad147985564d5e8d68a6760ecab7dab6.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/dark-angel.html,"drama, movie","all-the-feels, mysterious, dark",a-e,lifetime,2,3,Romance,English,0
17,Wrapped Up in Christmas ,"Christmas is one of Heather’s (Tatyana Ali, “Fresh Prince of Bel Air”) favourite times of year but she is tasked with being a grinch and cancelling the leases of under-performing stores.","genre:drama,genre:christmas,genre:movie,genre:family,mood:all-the-feels,mood:comforting,mood:romantic,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/3zS8zIZ84Jy6jRUP2XmTUT/bc62e80fdba6c56e74a3788ea3995b65/Lifetime_Wrapped_Up_In_Christmas_showtile.png.bc62e80fdba6c56e74a3788ea3995b65.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/wrapped-up-in-christmas.html,"drama, christmas, movie, family","all-the-feels, comforting, romantic",a-e,lifetime,5,3,Romance,English,0
18,Harry and Meghan: A Royal Romance ,"Fall in love with Prince Harry and Meghan Markle all over again, in this dramatisation of their early courtship.","genre:movie,genre:drama,genre:drama/romance,genre:drama/real-life-stories,mood:romantic,mood:escapist,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4bcVz44M5iN8xenwGwqBgF/cdd82fdd549de27ba806abb459bb8dce/Lifetime_Harry_MeghanARoyalRomance_showtile.png.cdd82fdd549de27ba806abb459bb8dce.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/harry-and-meghan-a-royal-romance.html,"movie, drama, romance, real-life-stories","romantic, escapist",a-e,lifetime,5,2,Real Life Story,English,0
19,Heart of a Lion ,A Finnish Neo-Nazi falls in love with a woman who has a bi-racial son and finds himself fighting conflicting feelings. Finnish with English subtitles.,"genre:drama,genre:movie,genre:drama/foreign-language-subtitled,mood:all-the-feels,mood:thought-provoking,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/OzXcmpm7M7kEeU0dQWdwj/30071c6fde77a54b901d7778b6e41b86/Filmsteam_HeartofaLion_showtile.png.30071c6fde77a54b901d7778b6e41b86.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/heart-of-a-lion.html,"drama, movie, foreign-language-subtitled","all-the-feels, thought-provoking",rialto,filmstream,3,1,Drama,English,0
20,Blue is the Warmest Colour ,"Adèle's life is changed when she meets Emma (Léa Seydoux), a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. French with English subtitles","genre:drama/foreign-language-subtitled,genre:movie,genre:drama,mood:all-the-feels,mood:bold,mood:provocative,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1CiqOZkFYWgLX4LoM0pL6j/fe9f8fc1be0ac2faa92b0260308f7746/BlueistheWarmestColour_Showtile.png.fe9f8fc1be0ac2faa92b0260308f7746.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/blue-is-the-warmest-colour.html,"foreign-language-subtitled, movie, drama","all-the-feels, bold, provocative",rialto,filmstream,4,1,Drama,French,0
21,Whale Rider ,"A young Māori girl fights to fulfil her destiny in her tribe, struggling against her traditional grandfather and the belief that only a male heir can become the next chief. Starring Keisha Castle-Hughes, Rawiri Paratene.","genre:movie,genre:new-zealand,genre:drama,genre:closed-captions,genre:family,genre:te-ao-maori,channel:tvnz-online,distributor:spp",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/7jrBjtZGl5NxxRyl3zRcrC/a5187f81f61743c5b105733c36cfd1b9/WhaleRider_ShowTilev2.png.a5187f81f61743c5b105733c36cfd1b9.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/whale-rider.html,"movie, new-zealand, drama, closed-captions, family, te-ao-maori",diverse,spp,,0,6,Comedy,English,1
22,A Killer Among Us ,"When 17-year-old Alex's mother is murdered, the police detective in charge of the case asks her to help find evidence that will lead them to the killer. Inspired by a true story.","genre:movie,genre:drama,genre:drama/real-life-stories,mood:mysterious,mood:thrilling,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2VR6xcCLz4lJv3VztSg8JV/102fe220514512a09f014d07dbe07d5a/AKillerAmongUs_showtile.png.102fe220514512a09f014d07dbe07d5a.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/a-killer-among-us.html,"movie, drama, real-life-stories","mysterious, thrilling",a-e,lifetime,2,4,Mystery,English,0
23,The Last Suit ,"An 88 year-old Jewish tailor runs away from Buenos Aires to Poland, where he intends to find a friend who saved him from certain death at the end of World War II. Spanish with English subtitles.","genre:movie,genre:drama/foreign-language-subtitled,mood:all-the-feels,mood:cheeky,mood:irreverent,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6VCSQJSkeZkibzGD1kF5Tp/2a8fc5c577c7e0c8abf173489ac4eaa8/Thelastsuit_Filmstream.png.2a8fc5c577c7e0c8abf173489ac4eaa8.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/the-last-suit.html,"movie, foreign-language-subtitled","all-the-feels, cheeky, irreverent",rialto,filmstream,3,1,Drama,Spanish,0
24,Border ,A customs officer who can smell fear develops an unusual attraction to a strange traveller while aiding a police investigation which will call into question her entire existence. Swedish with English subtitles.,"genre:movie,genre:drama,genre:fantasy,genre:drama/foreign-language-subtitled,mood:dark,mood:mysterious,mood:romantic,mood:scary,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/52ji0Hxk7FDXjd3KCw8kQr/982756d27e4dc2a0fcb11c38da8adfb4/Border_showtile.png.982756d27e4dc2a0fcb11c38da8adfb4.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/border.html,"movie, drama, fantasy, foreign-language-subtitled","dark, mysterious, romantic, scary",rialto,filmstream,4,1,Drama,English,0
25,Sione's 2: Unfinished Business,"The boys are back! They’re five years older, but are they any wiser? When Bolo goes missing, their Minister brings the boys back together and sends them on a quest. Their mission: to find one Samoan in the world's largest Polynesian city! Starring Robbie Magasiva and Oscar Kightley.","genre:movie,genre:new-zealand,genre:comedy,channel:tvnz-online,distributor:spp",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2SXfkYWNeitYU7A43zLa4k/60b29482ed376042cb8811b135614719/Siones2_showtile.png.60b29482ed376042cb8811b135614719.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/siones-2-unfinished-business.html,"movie, new-zealand, comedy",diverse,spp,,5,6,Comedy,English,1
26,Runaway Millionaires ,"What would you do if you found $10 million in your bank account? Runaway Millionaires is the gripping true story of Kara Hurring and Leo Gao, an ordinary New Zealand couple who went on the run after an extraordinary sum of money was mistakenly deposited into their account. Made with the support of NZ On Air.","genre:drama,genre:new-zealand,genre:sunday-theatre,genre:movie,channel:tv-one,distributor:fearless-productions",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1Oq6flkH9YTpayYMFrnf3n/f31d900f3f8d427aad91226b89784806/runawaymillionaires_showtile.png.f31d900f3f8d427aad91226b89784806.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/runaway-millionaires.html,"drama, new-zealand, sunday-theatre, movie",diverse,fearless-productions,,6,6,Comedy,English,1
27,I Was Lorena Bobbitt ,"Lorena Bobbitt made tabloid headlines when she cut off her husband's penis with a knife in 1993. This is her journey, from a wide-eyed, immigrant bride to a battered wife, into an unlikely media sensation.","genre:drama,genre:movie,genre:drama/real-life-stories,mood:revealing,mood:psychological,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/12zCNVbuNdOngj1tgBgenA/e9c5ec08d491c98f0252e29f4cc1d14d/IwasLorenaBobbit_showtile.png.e9c5ec08d491c98f0252e29f4cc1d14d.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/i-was-lorena-bobbitt.html,"drama, movie, real-life-stories","revealing, psychological",a-e,lifetime,2,2,Real Life Story,English,0
28,One Thousand Ropes ,"When a father reconnects with his estranged teenage daughter, he is given a rare chance to reshape the future of his family in unexpected ways and put to rest the ghosts that haunt them.","genre:movie,genre:new-zealand,genre:drama,mood:revealing,mood:thought-provoking,mood:all-the-feels,channel:tvnz-online,distributor:transmission",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1glRnftg6YcmkXyOhwf9BG/982ba9eb5382df9eecf03987fbf09fb6/OneThousandRopes_Showtile.png.982ba9eb5382df9eecf03987fbf09fb6.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/one-thousand-ropes.html,"movie, new-zealand, drama","revealing, thought-provoking, all-the-feels",transmission,,4,3,Romance,English,1
29,Park ,"A group of idle and wilding youths, injured retired athletes, and stray dogs wander the ruins of the abandoned 2004 Athens Olympic Village. Greek with English subtitles.","genre:movie,genre:drama/foreign-language-subtitled,genre:drama,mood:revealing,mood:thought-provoking,mood:provocative,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4QihzRb1HPY8ZdRfWzQQbf/ad36cae3291aaefbafa783599acc270c/Park_showtile.png.ad36cae3291aaefbafa783599acc270c.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/park.html,"movie, foreign-language-subtitled, drama","revealing, thought-provoking, provocative",rialto,filmstream,3,1,Drama,Greek,0
30,Betty and Coretta ,"Angela Bassett and Mary J Blige star as Coretta Scott King and Dr Betty Shabazz, the wives of Dr Martin Luther King and Malcolm X, in this drama about their lives in the wake of their husbands' assassinations.","genre:drama,genre:movie,genre:drama/period_drama,genre:drama/real-life-stories,genre:drama/strong-female-lead,mood:revealing,mood:bold,mood:all-the-feels,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1BlR5tDFhrITvFZGyxoSyN/f7a67e3c11ef89fba29956ce7b30be53/betty_and_coretta_showtile.png.f7a67e3c11ef89fba29956ce7b30be53.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/betty-and-coretta.html,"drama, movie, period, real-life-stories, strong-female-lead","revealing, bold, all-the-feels",a-e,lifetime,2,2,Real Life Story,English,0
31,Billionaire Boy ,"Len and his son Joe come form humble beginnings. Their lives are turned upside down when Len invents a new toilet roll, and they become overnight billionaires. Starring David Walliams.","genre:movie,genre:children,genre:kids,genre:comedy,channel:tvnz-online,distributor:bbc",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/3oJQxmyRXWXzRI7eg94UTb/d46f9b9afba26b0bbee805f67af672a3/BillionaireBoy_showtile.png.d46f9b9afba26b0bbee805f67af672a3.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/billionaire-boy.html,"movie, children, kids, comedy",diverse,bbc,,0,6,Comedy,English,0
32,Once Upon a Time in Venice ,Hollywood legend Bruce Willis stars as a Los Angeles detective who seeks out the ruthless gang that stole his dog. Also starring Jason Momoa and John Goodman.,"genre:movie,genre:drama,genre:drama/crime-thriller,genre:closed-captions,mood:action-packed,mood:epic,mood:fast-paced,channel:tvnz-online,distributor:studiocanal",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/EHgmHqUZUJ4yqoL31RbsI/ba615c0739107e7791bb979d5fedc9e7/DUKE_Once-Upon-a-Time-in-Venice_showtile.png.ba615c0739107e7791bb979d5fedc9e7.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/once-upon-a-time-in-venice.html,"movie, drama, crime-thriller, closed-captions","action-packed, epic, fast-paced",studiocanal,,1,5,Action,English,0
33,Girl in the Basement ,"A chilling story coming straight from the headlines, Sara is a vibrant teen girl whose controlling father Don (Judd Nelson) imprisons her in a basement for decades, unbeknownst to her family living upstairs.","genre:drama,genre:movie,mood:dark,mood:gritty,mood:suspenseful,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/3uuB6jOQFWG7UXDnJE6qay/a2efc3f9cc5fd5fc119e77bee17d0a8c/Lifetime_GirlInTheBasement_showtile.png.a2efc3f9cc5fd5fc119e77bee17d0a8c.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/girl-in-the-basement.html,"drama, movie","dark, gritty, suspenseful",a-e,lifetime,2,4,Mystery,English,0
